Year,Net_Inv_Current,Price_Index,Net_Inv_Const,Productive_Stock,Net_Wealth_End
1820,303.0,105.4,287.5,19308.8,19452.6
1821,417.0,107.1,389.4,19647.2,19841.9
1822,431.0,101.8,423.4,20053.6,20265.3
1823,422.0,100.5,419.9,20475.2,20685.2
1824,396.0,97.2,407.4,20888.9,21092.6
1825,504.0,100.6,501.0,21343.1,21593.6
1826,485.0,98.4,492.9,21840.0,22086.5
1827,452.0,96.8,466.9,22320.0,22553.4
1828,362.0,99.9,362.4,22734.6,22915.8
1829,380.0,100.0,380.0,23105.8,23295.8
1830,327.0,99.3,329.3,23460.4,23625.1
1831,301.0,98.0,307.1,23778.7,23932.2
1832,359.0,97.9,366.7,24115.6,24298.9
1833,407.0,95.5,426.2,24512.0,24725.1
1834,433.0,99.7,434.3,24942.3,25159.4
1835,452.0,102.2,442.3,25380.6,25601.7
1836,529.0,104.5,506.2,25854.8,26107.9
1837,613.0,107.5,570.2,26393.0,26678.1
1838,706.0,105.4,669.8,27013.1,27348.0
1839,717.0,103.7,691.4,27693.7,28039.4
1840,714.0,104.8,681.3,28380.0,28720.7
1841,735.0,100.7,729.9,29085.6,29450.6
1842,629.0,101.1,622.2,29761.7,30072.7
1843,728.0,100.9,721.5,30433.5,30794.2
1844,791.0,101.5,779.3,31183.9,31573.5
1845,889.0,104.4,851.5,31999.3,32425.1
1846,1057.0,105.9,998.1,32924.1,33423.2
1847,1147.0,105.4,1088.2,33967.3,34511.4
1848,701.0,97.7,717.5,34870.2,35228.9
1849,518.0,97.5,531.3,35494.6,35760.2
1850,495.0,99.5,497.5,36009.0,36257.7
1851,542.0,98.7,549.1,36532.3,36806.8
1852,746.0,101.0,738.6,37176.1,37545.5
1853,1045.0,106.7,979.4,38035.1,38524.8
1854,1164.0,109.0,1067.9,39058.8,39592.7
1855,1329.0,113.6,1169.9,40177.7,40762.6
1856,1442.0,111.5,1293.3,41409.3,42055.9
1857,1429.0,111.3,1283.9,42697.9,43339.8
1858,1242.0,103.8,1196.5,43938.1,44536.3
1859,1104.0,106.7,1034.7,45053.7,45571.0
1860,1143.0,107.6,1062.3,46102.2,46633.3
1861,1213.0,105.8,1146.5,47206.5,47779.8
1862,1219.0,108.5,1123.5,48341.5,48903.3
1863,1283.0,110.4,1162.1,49484.4,50065.4
1864,1346.0,113.8,1182.8,50656.8,51248.2
1865,1342.0,113.0,1187.6,51842.0,52435.8
1866,1449.0,120.1,1206.5,53039.1,53642.3
1867,1429.0,110.0,1299.1,54291.9,54941.4
1868,1531.0,109.1,1403.3,55643.1,56344.7
1869,1341.0,106.8,1255.6,56972.5,57600.3
1870,898.0,105.6,850.4,58025.5,58450.7
1871,672.0,109.6,613.1,58757.3,59063.8
1872,1194.0,111.3,1072.8,59600.2,60136.6
1873,1274.0,109.1,1167.7,60720.5,61304.3
1874,1142.0,106.2,1075.3,61842.0,62379.7
1875,1072.0,104.8,1022.9,62891.1,63402.6
1876,1139.0,103.5,1100.5,63952.8,64503.1
1877,1292.0,102.5,1260.5,65133.3,65763.6
1878,1185.0,97.5,1215.4,66371.2,66978.9
1879,1330.0,95.8,1388.3,67673.1,68367.2
1880,1748.0,98.9,1767.4,69251.0,70134.7
1881,2088.0,98.7,2115.5,71192.4,72250.2
1882,2060.0,96.8,2128.1,73314.2,74378.3
1883,1852.0,95.2,1945.4,75351.0,76323.7
1884,1667.0,93.0,1792.5,77219.9,78116.1
1885,1373.0,90.9,1510.5,78871.4,79626.6
1886,1129.0,89.8,1257.2,80255.2,80883.8
1887,1241.0,88.3,1405.4,81586.5,82289.3
1888,2790.0,89.3,3124.3,83851.4,85413.6
1889,2798.0,91.3,3064.6,86945.9,88478.2
1890,1444.0,91.8,1573.0,89264.7,90051.2
1891,1472.0,92.3,1594.8,90848.6,91646.0
1892,1393.0,91.4,1524.1,92408.0,93170.0
1893,2962.0,90.3,3280.2,94810.1,96450.2
1894,2918.0,88.5,3297.2,98098.8,99747.4
1895,1335.0,86.2,1548.7,100521.8,101296.1
1896,1394.0,84.5,1649.7,102121.0,102945.8
1897,1455.0,86.4,1684.0,103787.8,104629.8
1898,3409.0,89.6,3804.7,106532.2,108434.5
1899,1978.0,89.3,2215.0,109542.0,110649.5
1900,2211.0,92.6,2387.7,111843.4,113037.2
1901,1902.0,92.1,2065.1,114069.8,115102.4
1902,1617.0,89.1,1814.8,116009.8,116917.2
1903,1659.0,90.3,1837.2,117835.8,118754.4
1904,1521.0,89.9,1691.9,119600.3,120446.3
1905,1567.0,89.8,1745.0,121318.8,122191.3
1906,1623.0,94.3,1721.1,123051.8,123912.4
1907,2076.0,97.5,2129.2,124977.0,126041.6
1908,2158.0,96.8,2229.3,127156.3,128270.9
1909,2056.0,96.7,2126.2,129334.0,130397.1
1910,2562.0,98.4,2603.7,131698.9,133000.8
1911,2612.0,102.6,2545.8,134273.7,135546.6
1912,3031.0,105.5,2873.0,136983.1,138419.6
1913,3369.0,107.3,3139.8,139989.5,141559.4
