Year,Machinery_Const,NonRes_Const,Productive_Stock_Machinery,Productive_Stock_NonResidential,Net_Productive_Capital_Stock
1870,24.4,56.6,220.1,922.9,1143.0
1871,27.1,47.0,221.7,953.6,1175.3
1872,31.0,57.3,226.4,984.1,1210.4
1873,35.9,42.0,234.9,1011.3,1246.2
1874,31.1,40.7,242.5,1029.6,1272.1
1875,28.2,47.7,245.5,1050.3,1295.8
1876,32.5,50.5,248.8,1075.5,1324.3
1877,32.4,67.5,253.9,1109.9,1363.8
1878,30.1,57.8,257.2,1147.3,1404.5
1879,35.6,59.4,261.8,1179.7,1441.4
1880,34.5,59.1,268.0,1212.0,1480.0
1881,33.7,69.2,272.6,1248.5,1521.2
1882,44.2,53.2,281.6,1281.3,1562.8
1883,56.4,58.9,300.9,1308.1,1609.0
1884,49.5,62.2,320.7,1338.8,1659.5
1885,37.4,60.4,328.9,1369.5,1698.4
1886,38.0,66.8,330.4,1401.9,1732.2
1887,33.4,59.9,329.7,1433.2,1763.0
1888,39.2,61.1,329.8,1461.0,1790.8
1889,42.7,48.6,334.4,1482.5,1817.0
1890,52.7,59.1,345.4,1502.6,1847.9
1891,60.4,71.0,363.9,1533.4,1897.3
1892,50.5,59.3,379.3,1563.5,1942.8
1893,43.0,75.3,384.3,1595.2,1979.5
1894,45.9,60.0,386.5,1626.5,2012.9
1895,46.8,76.5,390.3,1657.6,2047.9
1896,51.2,57.0,396.3,1686.6,2082.9
1897,53.5,55.6,405.1,1704.4,2109.5
1898,58.1,56.9,416.3,1721.8,2138.1
1899,84.8,58.2,441.9,1740.1,2182.0
1900,82.1,64.2,476.8,1761.6,2238.4
1901,93.8,68.0,512.3,1787.5,2299.8
1902,80.3,73.0,543.0,1817.3,2360.2
1903,81.3,80.3,564.1,1852.5,2416.6
1904,76.0,103.8,580.7,1902.3,2483.0
1905,80.5,85.9,595.0,1953.8,2548.8
1906,97.1,93.6,618.4,1999.0,2617.3
1907,113.7,81.1,655.7,2040.7,2696.5
1908,107.9,87.4,694.4,2078.5,2772.9
1909,104.8,104.8,724.4,2127.2,2851.6
1910,101.2,95.2,747.7,2178.7,2926.4
1911,113.0,94.3,772.6,2223.8,2996.4
1912,147.3,118.2,817.7,2279.4,3097.1
1913,182.9,124.1,892.9,2348.5,3241.4
